,channel_id,channel_video_count,recommended_count,videos_as_source,ratio
1382,UCPoJsbG7YGF0cLo6tHDC0hw,11,50,2,4.545454545454546
1383,UC8-UThnwzBI5ApzVG4MY7VQ,36,1411,3,39.19444444444444
1384,UCQkYXTR1CBn60XLEziVyFwg,5,0,3,0.0
1385,UCAEMJqwHLj_o5QjnM_HNa1g,29,20,3,0.6896551724137931
1386,UCENVx4Je05B2Nc8fVYEDVxg,84,859,1,10.226190476190476
1387,UCDvIeLuH5wmndQ55cXeKtXw,30,115,3,3.8333333333333335
1388,UCO3T7KRPoVgVoGwRWJaJv-w,18,3,0,0.16666666666666666
1389,UCcQQCBUfVL6v8lm4-5Lefkw,18,9,3,0.5
1390,UC-ARQziiWT9TGh3zKptaiFQ,15,0,1,0.0
1391,UC38LAd2sNEBPw4d_9JqLZrw,14,82,3,5.857142857142857
1392,UCasrGNJ1Scs44-LFF9gfrhQ,15,0,1,0.0
1393,UCJV70X6mLTC-xXL23DXXdSg,15,5,2,0.3333333333333333
1394,UCnJ8fyizHQi6A_5_5Im7cVA,1316,6665,401,5.064589665653496
1395,UCYf9wWE3bwL7tzTsiMqHfcA,853,3758,3,4.405627198124267
